Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,Intel,Xeon E5462,839,47.6,662,https://cpu.userbenchmark.com/SpeedTest/16556/IntelR-XeonR-CPU-----------E5462----280GHz
CPU,,Intel,Celeron G550,840,47.6,1902,https://cpu.userbenchmark.com/SpeedTest/5014/IntelR-CeleronR-CPU-G550---260GHz
CPU,,Intel,Core i5-2520M,841,47.6,45308,https://cpu.userbenchmark.com/SpeedTest/29/IntelR-CoreTM-i5-2520M-CPU---250GHz
CPU,FJ8067703282227,Intel,Core i3-8130U,842,47.6,25471,https://cpu.userbenchmark.com/SpeedTest/468020/IntelR-CoreTM-i3-8130U-CPU---220GHz
CPU,,Intel,Core i3-2328M,843,47.5,7778,https://cpu.userbenchmark.com/SpeedTest/2488/IntelR-CoreTM-i3-2328M-CPU---220GHz
CPU,BX80662G4400,Intel,Pentium G4400,844,47.5,36432,https://cpu.userbenchmark.com/Intel-Pentium-G4400/Rating/3539
CPU,,Intel,Core m3-8100Y,845,47.4,1387,https://cpu.userbenchmark.com/SpeedTest/648336/IntelR-CoreTM-m3-8100Y-CPU---110GHz
CPU,,AMD,A8-7670K APU (2014 D.Ka),846,47.4,1733,https://cpu.userbenchmark.com/SpeedTest/37178/AMD-A8-7670K-Radeon-R7-10-Compute-Cores-4C-6G
CPU,,AMD,Phenom II X4 840,847,47.3,5147,https://cpu.userbenchmark.com/SpeedTest/3302/AMD-Phenomtm-II-X4-840-Processor
CPU,,Intel,Pentium G630,848,47.3,12397,https://cpu.userbenchmark.com/SpeedTest/3112/IntelR-PentiumR-CPU-G630---270GHz
CPU,,Intel,Core i5-3317U,849,47.2,26848,https://cpu.userbenchmark.com/Intel-Core-i5-3317U/Rating/2744
CPU,,AMD,Phenom II X3 710,850,47.2,965,https://cpu.userbenchmark.com/SpeedTest/2275/AMD-Phenomtm-II-X3-710-Processor
CPU,,Intel,Core i5-7Y54,851,47.2,1509,https://cpu.userbenchmark.com/SpeedTest/193628/IntelR-CoreTM-i5-7Y54-CPU---120GHz
